ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,ESTRATO,LLAVE_PANEL,CODciudad,NOMCIUDAD,AREA,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,D341_T,D344,D347_T,D350,D351_T,I339_1,I342,I345_1,I348,INGTOT,INGTOTP,ingtrabw,RESIDENT,FAC_T300
2024,07,00015,1,0089,1,5,202404000151008911, , ,1,1,1,1,2, ,2,52,1,1,8,11,1971,1, , , , , , , , , , , , , , , ,2330,8521,3,2, , ,5,9998,0,8,8,8,8,8,0,40, ,40,1, ,2, ,2,2,4,2500, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,8,1, , , , ,83,2500, , , ,2500,2500,2583,1,185.217197793083
2024,07,00015,1,0089,1,5,202404000151008913, , ,1,2,3,1,2, ,2,24,2,2,26,11,1999,1, , , , , , , , , , , , , , , ,5131,5630,3,5,3,2,1,3,0,11,11,11,11,11,0,55, ,55,1, ,2, ,2,1,1,60,20, , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,5,1,600, , , , ,1800, , , ,2400,2400,2400,1,125.302518217503
2024,07,00015,1,0089,1,5,202404000151008914, , ,1,3,3,1,2, ,1,16,3,3,31,10,2007,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2,2,5, , ,2,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,4, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,141.113478836738
2024,07,00015,1,0089,1,5,202404000151008915, , ,1,4,3,1,2, ,2,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2024,07,00015,1,0089,1,5,202404000151008912, , ,1,5,98, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, 
2024,07,00015,1,0098,1,5,202404000151009811, , ,1,1,1,1,2, ,2,64,1,1,9,8,1959,1, , , , , , , , , , , , , , , ,9111,9700,6, , , ,1,2,10,10,10,10,10,10,10,70, ,70,1, ,2, ,2,2,4,1000,40, , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,9,3, ,2,2,2,2,2,1,10,7,1,173, , , , ,1000, , , ,1173,1173,1173,1,185.217197793083
2024,07,00015,1,0098,1,5,202404000151009812, , ,1,2,98, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, 
2024,07,00015,1,0098,1,5,202404000151009813, , ,1,3,98, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, 
2024,07,0001701,2,0103,1,5,20240700017012010311, , ,1,1,1,1,2, ,1,67,1,1,22,2,1957,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2, ,5131,5610,4, ,3,2,1,4,0,8,8,8,8,8,0,40, ,40,1, ,2, ,2, , , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,4,5, ,2,2,2,2,2,2,10,5,1, , , , , , , , , ,0,0,0,1,441.312434802415
2024,07,0001701,2,0103,1,5,20240700017012010312, , ,1,2,2,1,2, ,2,65,2,2,8,3,1959,1, , , , , , , , , , , , , , , ,5120,5610,2, ,3,2,1,4,0,7,8,7,7,8,0,37,35,72,1, ,2, ,2,2, , , , , , , ,120,60, , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,3,4, ,2,2,2,2,2,2,10,7,1, ,360, ,60, , ,1170, ,120,1710,1530,1710,1,239.61251636973
